"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","9V","","","","","~"
"BZ1","1","Buzzer","","","","","~"
"DS1","1","HY1602E","","","","Display:HY1602E","http://www.icbank.com/data/ICBShop/board/HY1602E.pdf"
"M1","1","Motor_DC","","","","","~"
"R1,RV1","2","10k","","","","","~"
"R2","1","220","","","","","~"
"RN1","1","0.4167","","","","","~"
"SW1","1","SW_Push","","","","","~"
"U1","1","PIC16F877A-IP","","","","","http://ww1.microchip.com/downloads/en/DeviceDoc/39582b.pdf"
"U2","1","ACS712xLCTR-05B","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en"
"U3","1","L293D","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/l293.pdf"
"U4","1","LM35-D","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm35.pdf"
